model,year,price,type,distance,fuel,tax,miles per galoon,size
2,2015.0,8250.0,1,29980.0,0,0.0,78.4,1.6
8,2018.0,12998.0,1,7910.0,2,145.0,52.3,1.0
8,2018.0,13498.0,1,12884.0,2,145.0,44.1,1.0
0,2017.0,7998.0,1,25878.0,2,145.0,57.7,1.2
0,2018.0,7100.0,1,35000.0,2,145.0,60.1,1.0
0,2012.0,3799.0,1,56582.0,2,20.0,61.4,1.2
8,2019.0,14298.0,1,5034.0,2,145.0,44.1,1.0
0,2014.0,5500.0,1,17904.0,2,20.0,60.1,1.0
4,2018.0,15998.0,1,38520.0,0,145.0,28.0,2.5
6,2015.0,10199.0,1,33177.0,0,160.0,51.4,2.0
10,2018.0,13300.0,1,29413.0,2,150.0,44.8,1.6
1,2019.0,10485.0,1,11166.0,2,145.0,46.3,1.2
10,2016.0,11698.0,1,29051.0,0,30.0,61.7,1.7
8,2018.0,13498.0,1,6922.0,2,145.0,44.1,1.0
10,2016.0,12163.0,1,21014.0,0,30.0,61.7,1.7
1,2017.0,8995.0,1,19229.0,2,145.0,62.8,1.0
2,2018.0,10998.0,1,14927.0,2,145.0,56.5,1.0
8,2018.0,14298.0,1,8795.0,2,145.0,44.1,1.0
10,2017.0,14600.0,2,18626.0,0,125.0,57.6,1.7
6,2011.9411333648773,7799.0,0,48528.0,0,298.50206787132424,39.2,2.0
1,2013.0,3998.0,1,45461.0,2,30.0,57.6,1.2
0,2017.0,6698.0,1,19419.0,2,145.0,60.1,1.0
10,2019.0,15498.0,1,17325.0,2,145.0,34.9,1.6
10,2016.0,11399.0,1,37877.0,0,30.0,61.7,1.7
10,2017.0,12600.0,1,36750.0,0,30.0,61.7,1.7
6,2015.0,7885.0,1,59817.0,0,145.0,54.3,1.7
8,2019.0,15498.0,1,10.0,2,145.0,44.1,1.0
10,2016.0,13298.0,1,23257.0,0,30.0,61.7,1.7
1,2015.0,6799.0,1,39547.0,2,30.0,55.4,1.2
1,2017.0,8498.0,1,12588.0,2,145.0,55.4,1.2
0,2016.0,5998.0,1,20851.0,2,20.0,60.1,1.0
1,2016.0,7398.0,1,19230.0,2,30.0,55.4,1.2
2,2017.0,10000.0,1,20000.0,2,150.0,56.5,1.0
1,2019.0,12000.0,1,7061.0,2,145.0,46.3,1.2
9,2016.0,18295.0,2,22404.0,0,235.0,42.2,2.2
8,2019.0,15498.0,1,10.0,2,145.0,44.1,1.0
7,2018.0,17298.0,0,6443.0,1,135.0,78.5,1.6
10,2017.0,13000.0,1,26685.0,0,30.0,61.7,1.7
9,2017.0,18999.0,0,20599.0,0,150.0,42.8,2.2
10,2019.0,15498.0,1,23773.0,2,145.0,34.9,1.6
5,2017.0,9998.0,1,9604.0,2,145.0,50.4,1.4
10,2019.0,15498.0,1,17865.0,2,145.0,34.9,1.6
